Query,Relevant Axioms IDs,Size of relevant axioms
"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.","['126', '207', '65']",3
Brittle Fault Rock: a amount of rock generated_by some Brittle Shear Deformation. It results from the crushing  of a former rock (Protolith).,"['22', '31', '96', '37', '187', '84', '12']",7
"Deformation Band: a geological object recognizable in from mm to cm in width, constituted_by some amount of rock and generated_by some Geological Deformation.It corresponds to a tabular strain localization feature that accommodates small displacement with strain-hardening.","['155', '144', '4']",3
"Fault Core: a geological object that is part_of only Fault Zone, generated_by some Brittle Shear Deformation, constituted_by some Brittle Fault Rock. It accommodates the high-strain major shear displacement.","['63', '22', '3', '42', '53', '167', '119', '138', '30', '154']",10
Flower: a set of fault surfaces related to strike-slip fault structure that stack together as petals of a flower in cross-section view.,['145'],1
"Fault System Structure: a geological structure that is structure_of some Fault System. It is the arrangement among the Fault Walls of Fault Volumes, which are part_of a Fault System.","['32', '116', '186', '56', '95', '57']",6
Negative Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively downward and the corresponding Fault System has_structure some Flower.,['56'],1
Chatter Mark: a small wedge-shaped structure that indicates one Fault Wall moves past another.,['134'],1
Fault Maximum Separation: a relational quality is quality_of exactly 2 Fault Wall of a Fault Volume. It measures the separation between 2 Fault Wall of a Fault Volume and expressed by a real number indicating its value and a literal string indicating its measurement unit.,"['201', '149', '148', '62', '105', '198']",6
"Slip Surface Structure: a geological structure, which is structure_of some Physical Slip Surface. It is structure of the direction of the displacement between the two fault walls.","['139', '68', '39', '28', '134']",5
Dip Separation: it is the separation measured along a line parallel to the dip direction.,['62'],1
Low-angle Fault: a Fault Structure having a Fault Dip value less than 30°,"['43', '212']",2
It is a 'generically dependent continuant' that is the pattern of a non-atomic 'geological object''s internal arrangement.,"['114', '11', '66', '111', '116', '39', '181', '163', '125']",9
"An entity that has temporal parts and that happens, unfolds or develops through time.","['191', '135', '80', '112', '202']",5
"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.","['51', '10', '174', '20']",4
"Duplex : a set of imbricate (overlapping,stacking) thrusts which branch off from a single fault below and merge with a thrust fault above and which isolate rock bodies (horses).",['57'],1
Protolith Role: a role that is role_of  some amount of rock. It indicates the original rock type of the rock before the rock participate_in some Geological Process.,"['45', '152', '25']",3
Barrier: a role that is role_of some Fault Zone that not allows fluid flow.,"['169', '54']",2
Fault Strike Azimuth: it measures the strike azimuth of the Fault Surface Location.,['19'],1
Unconsolidated earth material is an 'earth material' that is consituted by an aggregate of solid particles but is not consolidated into a 'rock' it self.,['133'],1
"Anastomosing: a set of fault surfaces that merge and diverge along strike, thereby creating a braided pattern in map view or cross section.",['115'],1
"Minor Fault (synonym: Subsidiary fault, Spaly fault): a role is role_of  some Fault Zone. It can be realized when a Fault Zone having a minor displacement than a Major Fault within a Fault System.","['64', '137', '141', '100']",4
Synthetic Fault: a Subsidiary Fault. It can be realized when a Fault Zone having a dip direction parallel to that of the Major Fault Zone belonging to the same Fault System.,['100'],1
Fault Tip Line: a two-dimensional continuant fiat-boundary that is the locus of the points of the Fault Zone where theoretically the shear displacement goes to zero,"['162', '85', '74']",3
Dextral Fault: a Strike-Slip Fault that that the Fault Wall on the opposite side of the fault from an observer has moved to the right.,['131'],1
Conduit: a role that is role_of some Fault Zone that t allows fluid flow.,"['29', '81']",2
Slickenline: a parallel straight line scratches or grooves.,['68'],1
Fault Breccia: a Brittle Fault Rock containing at least in volume  30 %  “large” clasts (having a average clast size > 2 mm in diameter).,['187'],1
Thrust Fault: a conjunction of Reverse Fault and Low-angle Fault,"['88', '212']",2
Smeared:a quality that is quality_of  some Fault Core Membrane. It specifies whether the membrane has been ductically stretched.,"['38', '48', '136', '16', '178']",5
Sinistral Fault: a Strike-Slip Fault that the Fault Wall on the opposite side of the fault from an observer has moved to the left.,['44'],1
"It is a physical, or chemical, or biological, naturally occurring process that occurs on the Earth’s surface or subsurface and occupies some 'geological time interval'","['117', '121', '87', '159', '75', '190']",6
Fault Horse: a geological object that is externally_connected_with only Physical Slip Surface. It is bounded by slip surfaces in 3D spatial region.,"['194', '26']",2
Conjugate: a number of fault surfaces can be grouped into two sets that are inclined to one another at an angle of about 60°.,['210'],1
Foot Wall: a role that is role_of  some Fault Wall located below the Fault Surface to which it is related.,"['83', '52']",2
"An amount of rock is an 'earth material' that is a naturally occuring, inorganic, solid, homogeneous chemical compound with a crystalline structure.",['180'],1
Large Clasts Proportion: a Rock Quality inheres in rock. It quantifies the proportion of the rock has clasts larger than 2mm.,['193'],1
"Fault Gouge: a non-cohesive Brittle Fault Rock containing maximum in volume 30% “large” clasts 
Superclass: Brittle Fault Rock (Def.13)","['171', '96']",2
"Geological Deformation: a geological process, which changes the shape and/or the volume of some material entity that is constituted_by some amount of rock.","['33', '87', '183', '4']",4
"Cohesion: a Rock Quality inheres in rock. It measures the capability of a rock  being broken into component granules with fingers or with the aid of a pen knife.
Values: Cohesion, Non-cohesion",['17'],1
"Fault Core Membrane: a geological object that is part_of some Fault Core, constituted_by some Brittle Fault Rock, has_quality some Smeared and has_quality some Continuity. It corresponds to a long and thin layer of the fault core.","['78', '167', '16', '18', '178', '12']",6
Parallel: a set of fault surfaces that roughly parallel one another.,['123'],1
Reverse Fault: a Fault Structure in which Fault Wall has_role Hanging Wall is higher or has moved upthrown relative to the Fault Wall has_role Footwall.,"['88', '192', '222', '212']",4
Relay Zone: a role is role_of  some Rock Volume. It can be realized when a Rock Volume constitutes a link between two adajacent Fault Zone having similar characteristics and shows the displacement is transferred.,"['59', '122']",2
Permeability: a disposition that is  disposition_of some Amount of Rock. It quantifies the capability a rock of letting a liquid or gas flow through under pressure.,"['175', '101']",2
a Fault Structure in which the Fault Wall that  has_role Hanging Wall is lower or has moved downthrown relative to the Fault Wall that has_role Footwall.,"['222', '58']",2
An amount of rock is a solid consolidated 'earth material' that is 'constituted by' an aggregate of particles made of mineral matter or material of biological origin.,"['45', '155', '101', '31', '129', '33', '152', '147']",8
Fault Wall: a Rock Volume that is part_of Fault Volume and externally_connected_with Fault Core. It corresponds to the volume that is located aside the Fault Core.,"['150', '24', '105', '42', '94', '76', '23', '196', '52', '72', '182']",11
Graben: a role is role_of  some Fault Wall when this Fault wall has_role some Hanging Wall of two normal faults dipping towards each other.,"['77', '35', '76']",3
It is a quality that 'inheres in' a 'geological object' or 'earth material' that corresponds to the 'geological time interval' in which the 'geological process' that it was 'generated by' occupied.,"['118', '82']",2
En echelon: a set of parallel fault surfaces that lie between two bounding surfaces and are inclined at an angle to the bounding surfaces.,['91'],1
Fault Surface Shape: a quality is quality_of some Fault Surface. It does not reflect the exact topological specifications of a surface shape but an abstract geometry.,"['140', '195', '172']",3
It is a BFO temporal interval that corresponds to a time interval within the Geological Time Scale.,['14'],1
Antithetic Fault: a Subsidiary Fault. It can be realized when a Fault Zone having a dip direction cojugate to that of the Major Fault Zone belonging to the same Fault System.,['137'],1
"Damage Zone: a geological object that is part_of only Fault Zone, externally connected with some Fault Core, and part_of some Fault Wall. It accommodates the low-strain and less intense brittle deformation.","['150', '185', '85', '104', '143', '119']",6
Fault Orientation: a quality is quality_of some Fault Surface Location. It measures the orientation properties of a Fault Surface.,"['19', '46', '99', '200', '132']",5
Strike Separation: it is the separation measured along the strike of the fault.,['201'],1
An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,"['67', '160', '124', '33', '166', '109']",6
"Fault Zone: a geological object that is part_of  some Fault Volume. A Fault Zone is participates_in some Brittle Shear Deformation, and Fault Zone has_part some Fault Core and has_part some Damage Zone.","['29', '40', '169', '36', '162', '69', '185', '146', '165', '104', '90', '53', '141', '89', '107', '154']",16
It is a 'relational quality' that 'inheres in' two distinct 'geological object' that are 'externally connected with',['9'],1
"Cataclasite: a cohesive Brittle Fault Rock containing maximum in volume 30% “large” clasts 
Superclass: Brittle Fault Rock (Def.13)","['37', '50']",2
Horst and Graben: a set oFault Wall that are altrernately moved up and down along normal faults.,"['35', '186', '197']",3
Rock Volume: a fiat object part part_of some geological object and constituted_by some amount of rock.,"['86', '70', '98', '59', '130', '196']",6
An object that is 'generated by' some 'geological process' and has at least one part 'constituted by' some 'earth material' that is not an 'earth fluid'.,"['8', '66', '144', '117', '165', '203', '118', '121', '181', '98', '159', '143', '97', '61', '163', '26', '18', '30', '125']",19
Fault Surface: a two-dimensional continuant fiat boundary related to a Fault Zone. It corresponds to the locus surface of the points that are equally distant to the two Fault Wall of the related Fault Zone.,"['7', '69', '140', '90', '127']",5
"Oblique Fault: a Fault Structure that is a conjunction of Strike-Slip Fault and Normal Fault, or conjunction of Strike-Slip Fault and Reverse Fault.","['222', '173']",2
Heave: it is the horizontal component of Dip Separation.,['149'],1
Throw: it is the vertical component of Dip Separation.,['198'],1
"Fault Core Lens: a geological object that is part_of some Fault Core, constituted_by some Amount of Rock and has_role some Protolith.","['8', '152', '138']",3
Horst: a role is role_of  some Fault Wall when this Fault Wall has_role some Foot Wall of two normal faults having divergent dips.,"['188', '94', '197']",3
It is a natural amount of matter 'generated by' some 'geological process'.,"['180', '41', '133', '203', '159', '147', '75', '109']",8
Rotation Fault (synonyms: Scissors Fault): a Fault Structure in which one Fault Wall rotated with respect to the other  around an axis perpendicular to the Fault Surface.,['179'],1
Major Fault (synonym: Main fault): a role is role_of  some Fault Zone. It can be realized when a Fault Zone having a significantly larger displacement than the others within a Fault System.,"['36', '208']",2
Fault Dip Angle: it measures the dipping angle of the Fault Surface Location.,['200'],1
Fault Structure: a geological structure that is structure_of only Fault Volume. It is the pattern of human-eyes’ visible scale physical discontinuity and shear displacement of fault.,"['184', '179', '11', '192', '71', '151', '58', '173', '43', '156']",10
"Brittle Shear Deformation: a Geological Deformation, which applies a material entity constituted_by a amount of rock shear stress and consequently induces physical discontinuities and displacements inside it.","['146', '3', '183', '84']",4
"Relay: In map view, a set of parallel or subparallel non-coplanar fault surfaces that are spaced at a distance from one another across strike, but whose traces overlap or shows a “relayed” (transferred) pattern with one another along strike.",['1'],1
