Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec_Ranking,BERT_Ranking,SBERT_Ranking,SapBERT_Ranking,owl2vec_iri_Ranking,owl2vec_Ranking,owl2vec_pretrained_Ranking
Positive Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively upward and the corresponding Fault System has_structure some Flower.,['95'],1,"['13', '156', '56', '95', '145', '32', '105', '63', '42', '24']","{'161': 0.86091816, '69': 0.86073214, '146': 0.8591122, '40': 0.8560109, '2': 0.8509201, '74': 0.84928805, '108': 0.84570426, '46': 0.84340656, '212': 0.8402658, '84': 0.84006834}","{'145': 0.7317611, '95': 0.5207649, '156': 0.45216057, '170': 0.39651096, '222': 0.37822527, '124': 0.36152327, '127': 0.35129547, '152': 0.32998392, '163': 0.32973108, '66': 0.32158506}","{'71': 0.6840236, '107': 0.6716283, '95': 0.6652167, '90': 0.64374334, '182': 0.64331126, '197': 0.6374889, '7': 0.63487333, '42': 0.63412327, '70': 0.62475115, '86': 0.6086589}","{'32': 0.92756194, '13': 0.9253509, '212': 0.91744936, '107': 0.9100696, '222': 0.90940136, '71': 0.90215296, '95': 0.9009032, '182': 0.90057814, '24': 0.8983748, '28': 0.89525014}","{'32': 0.93115336, '13': 0.92860556, '28': 0.92511344, '222': 0.9167476, '212': 0.9110154, '94': 0.89623904, '23': 0.88770723, '59': 0.88727343, '152': 0.8852578, '141': 0.8830593}","{'222': 0.99914217, '120': 0.99837667, '133': 0.9982798, '148': 0.998273, '187': 0.998262, '130': 0.9982611, '62': 0.99825656, '34': 0.9982338, '118': 0.9981957, '146': 0.9980626}"
"Physical Slip Surface: a fiat object part that is part_of some Fault Wall and externally_connected_with some Fault Core. It is the physical surface part of the wall, where major slip of a fault occurred.","['194', '63', '24', '34', '28']",5,"['24', '63', '42', '194', '119', '89', '69', '7', '46', '149']","{'63': 0.88664484, '46': 0.88606036, '69': 0.87917316, '24': 0.8771201, '42': 0.8688854, '194': 0.8645365, '105': 0.86080307, '7': 0.85854876, '96': 0.8578712, '222': 0.85689014}","{'34': 0.7788899, '24': 0.6857406, '63': 0.6700457, '28': 0.57052594, '127': 0.54326344, '74': 0.5200349, '222': 0.499677, '124': 0.4422701, '66': 0.4416464, '2': 0.42798442}","{'24': 0.8394173, '63': 0.81628144, '34': 0.7930517, '194': 0.7267606, '71': 0.72380674, '197': 0.7151758, '42': 0.71106637, '149': 0.70370185, '28': 0.7007607, '182': 0.70018065}","{'24': 0.9467631, '149': 0.93618846, '182': 0.9348872, '42': 0.93444383, '71': 0.9337412, '63': 0.92689836, '107': 0.9263368, '194': 0.9230705, '166': 0.922496, '137': 0.9213481}","{'28': 0.94097775, '24': 0.93839407, '182': 0.93619305, '137': 0.9359113, '166': 0.9354826, '149': 0.9353718, '32': 0.9330882, '40': 0.9330848, '153': 0.93282753, '185': 0.932031}","{'16': 0.99938595, '54': 0.99919367, '132': 0.99918294, '113': 0.99917513, '82': 0.9991745, '15': 0.9991109, '77': 0.9990701, '83': 0.9990527, '188': 0.9989382, '60': 0.99869215}"
Continuity: a quality that is quality_of  some Fault Core Membrane. It describes the appearance continuity of the fault core membrane.,"['15', '78']",2,"['78', '166', '11', '16', '178', '18', '2', '63', '137', '146']","{'140': 0.87292963, '46': 0.8709162, '105': 0.87056834, '195': 0.86395514, '166': 0.8545356, '11': 0.8497404, '78': 0.8495809, '69': 0.8473573, '28': 0.8448065, '178': 0.83904696}","{'78': 0.88044596, '166': 0.7591102, '178': 0.68703806, '16': 0.6670538, '11': 0.6549466, '18': 0.62961704, '153': 0.62337154, '137': 0.5915244, '42': 0.5688797, '156': 0.48964366}","{'78': 0.877764, '166': 0.75462157, '15': 0.73013186, '127': 0.67117506, '178': 0.66552734, '18': 0.662314, '16': 0.6594723, '42': 0.65236753, '153': 0.64551425, '11': 0.6447774}","{'16': 0.95419204, '178': 0.95395696, '78': 0.9479069, '50': 0.93551296, '136': 0.9331105, '48': 0.9310592, '11': 0.9299235, '170': 0.9273705, '129': 0.9208725, '105': 0.91800284}","{'78': 0.9692272, '178': 0.9683447, '16': 0.9681273, '170': 0.95341307, '105': 0.9437719, '140': 0.94316316, '129': 0.9426289, '46': 0.9424302, '118': 0.9377612, '124': 0.93595076}","{'78': 0.99964684, '140': 0.9996074, '129': 0.99960524, '105': 0.99960494, '46': 0.99960303, '28': 0.99952203, '169': 0.99949414, '29': 0.9994824, '170': 0.99946725, '100': 0.9993051}"
Growth Fault (synonyms: Syn-sedimentation fault): a Fault Structure  in which the portion above the fault surface is thicker than the portion below .,['151'],1,"['151', '57', '222', '173', '140', '7', '193', '43', '72', '105']","{'186': 0.89159644, '187': 0.8873303, '43': 0.8832221, '184': 0.8819543, '72': 0.88024265, '96': 0.8769578, '151': 0.87469506, '222': 0.8669865, '111': 0.8665693, '8': 0.8608037}","{'151': 0.7257598, '140': 0.6123356, '69': 0.60259306, '89': 0.593201, '85': 0.57410383, '43': 0.57354, '156': 0.5646128, '7': 0.55891937, '146': 0.5531084, '222': 0.5101303}","{'151': 0.7375444, '30': 0.69285995, '146': 0.68352735, '22': 0.6825237, '86': 0.68212694, '72': 0.6811508, '2': 0.6807319, '70': 0.67876554, '84': 0.67809105, '11': 0.6695813}","{'220': 0.9364795, '194': 0.92509043, '119': 0.9249375, '42': 0.92482656, '63': 0.9247727, '131': 0.92469853, '149': 0.92421335, '44': 0.92367375, '24': 0.9221393, '212': 0.8989235}","{'220': 0.970602, '120': 0.95947725, '146': 0.9576601, '152': 0.9536805, '11': 0.9534647, '22': 0.9525754, '66': 0.9518956, '212': 0.9513857, '156': 0.95084065, '181': 0.9484436}","{'120': 0.99866104, '165': 0.99864, '49': 0.9986316, '144': 0.9986255, '133': 0.9986247, '148': 0.99862087, '187': 0.99862075, '130': 0.9986188, '62': 0.9986126, '34': 0.9986035}"
Detachment Fault: a Fault Structure with Fault Dip in value less than 10° in which the displacement is almost horizontally.,['184'],1,"['105', '193', '184', '57', '62', '200', '140', '156', '46', '13']","{'146': 0.8831018, '131': 0.86992973, '44': 0.8671094, '184': 0.8636577, '161': 0.8556442, '99': 0.85375696, '200': 0.84860647, '96': 0.8461418, '187': 0.84445107, '212': 0.83868414}","{'184': 0.7777289, '200': 0.7076656, '43': 0.6998515, '173': 0.6890141, '90': 0.6619086, '156': 0.64458984, '146': 0.64016885, '222': 0.63643515, '107': 0.6308092, '85': 0.62648714}","{'99': 0.76248217, '200': 0.7612269, '184': 0.7543271, '62': 0.7303185, '88': 0.65589684, '105': 0.65264976, '69': 0.6456973, '198': 0.6368665, '212': 0.63426733, '173': 0.6311027}","{'105': 0.91061264, '24': 0.9061197, '149': 0.9055562, '42': 0.90441054, '182': 0.90437835, '71': 0.90339315, '76': 0.90084255, '94': 0.9003243, '52': 0.89823496, '23': 0.89786917}","{'156': 0.92964214, '42': 0.9282061, '181': 0.92729926, '152': 0.9268709, '63': 0.9264447, '194': 0.92576504, '105': 0.92551047, '119': 0.92492205, '66': 0.9240498, '28': 0.92391497}","{'170': 0.99924153, '166': 0.99922293, '182': 0.9992205, '149': 0.9992164, '141': 0.99918, '59': 0.99917036, '23': 0.9991701, '108': 0.9991687, '36': 0.9991642, '45': 0.9991582}"
Strike-Slip Fault: a Fault Structure that two Fault Wall move relative horizontally to each other laterally in a vertical plane that is approximately parallel to the strike of the fault.,"['131', '222', '71', '44']",4,"['173', '42', '200', '193', '222', '212', '88', '105', '179', '57']","{'131': 0.89959115, '44': 0.8878894, '72': 0.8642934, '43': 0.85710454, '88': 0.8519223, '184': 0.8374166, '187': 0.8305396, '222': 0.8292537, '146': 0.82761323, '96': 0.8193708}","{'72': 0.81772345, '222': 0.77827954, '44': 0.7266815, '131': 0.72551167, '24': 0.6877357, '173': 0.6713309, '43': 0.65698993, '212': 0.6539108, '63': 0.6402563, '156': 0.57441026}","{'131': 0.74934465, '72': 0.7485106, '44': 0.7179668, '24': 0.69453776, '222': 0.6881131, '197': 0.6786869, '212': 0.65896785, '105': 0.6581643, '88': 0.6552667, '194': 0.65501016}","{'44': 0.94422036, '131': 0.94143003, '88': 0.9285806, '220': 0.92700535, '1': 0.9234445, '91': 0.922874, '115': 0.92133105, '99': 0.9189871, '138': 0.9160166, '102': 0.9154392}","{'220': 0.97532374, '120': 0.96931577, '146': 0.96891373, '11': 0.9685199, '22': 0.96672213, '84': 0.9639697, '2': 0.9630693, '155': 0.96204907, '124': 0.96016264, '152': 0.95868117}","{'222': 0.99905056, '212': 0.9987198, '203': 0.9986435, '7': 0.9985357, '152': 0.9983905, '159': 0.998362, '146': 0.9982256, '35': 0.9981026, '181': 0.9980858, '196': 0.997749}"
Fault System: a Rock Volume and has_part some Fault Volume.,"['13', '108', '70', '32']",4,"['70', '86', '107', '197', '182', '71', '40', '90', '156', '220']","{'31': 0.88982576, '40': 0.8853607, '153': 0.87789226, '69': 0.8741831, '182': 0.87355775, '149': 0.8729143, '137': 0.86517096, '97': 0.86358243, '152': 0.8608958, '196': 0.85176164}","{'86': 0.8431713, '70': 0.8254831, '90': 0.76963747, '197': 0.7554449, '71': 0.74996877, '107': 0.7380556, '40': 0.71034884, '182': 0.6968615, '156': 0.6933156, '22': 0.661408}","{'70': 0.89506984, '86': 0.8555982, '107': 0.8123442, '197': 0.80002284, '31': 0.78557163, '130': 0.7627302, '22': 0.7478868, '90': 0.7423079, '71': 0.73561966, '7': 0.73446333}","{'212': 0.87454236, '222': 0.8742655, '32': 0.8728829, '95': 0.869514, '58': 0.86634165, '203': 0.865988, '56': 0.8652016, '94': 0.8581449, '59': 0.8570099, '152': 0.8521801}","{'222': 0.90779954, '212': 0.8847284, '203': 0.86961126, '152': 0.8574797, '32': 0.8492599, '71': 0.8490861, '13': 0.8461794, '28': 0.8435444, '159': 0.8416253, '66': 0.8318929}","{'16': 0.9994156, '94': 0.9993774, '76': 0.9993086, '195': 0.99923325, '176': 0.9992306, '73': 0.9992109, '190': 0.9991426, '106': 0.99912447, '64': 0.99897003, '175': 0.9987951}"
"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.","['126', '207', '65']",3,"['126', '162', '5', '208', '65', '92', '167', '191', '125', '176']","{'208': 0.85453355, '5': 0.84728134, '67': 0.84642994, '167': 0.84597164, '160': 0.8438971, '162': 0.84356457, '181': 0.8417535, '114': 0.8318038, '120': 0.81987655, '124': 0.8195504}","{'126': 0.7045888, '174': 0.6679876, '51': 0.5757039, '5': 0.57097566, '167': 0.55443406, '208': 0.53439075, '10': 0.5292897, '176': 0.46057442, '114': 0.42731208, '124': 0.32150036}","{'126': 0.8044795, '176': 0.7285155, '51': 0.72630453, '5': 0.69674456, '167': 0.6914439, '10': 0.6766464, '208': 0.6500536, '20': 0.64491075, '92': 0.6434924, '174': 0.6111441}","{'131': 0.94572145, '44': 0.9426143, '88': 0.9305345, '1': 0.9281885, '91': 0.9262289, '115': 0.9260106, '122': 0.9248224, '207': 0.9246756, '210': 0.92381966, '56': 0.92252445}","{'120': 0.99078465, '146': 0.9879247, '155': 0.983591, '22': 0.98315567, '11': 0.98310196, '84': 0.9828233, '2': 0.9826568, '75': 0.98259896, '4': 0.9824144, '117': 0.9818315}","{'124': 0.9995364, '104': 0.9992555, '53': 0.9992546, '71': 0.9992543, '90': 0.9992536, '107': 0.99925005, '89': 0.99915147, '68': 0.9990828, '207': 0.9988852, '122': 0.99865824}"
Brittle Fault Rock: a amount of rock generated_by some Brittle Shear Deformation. It results from the crushing  of a former rock (Protolith).,"['22', '31', '96', '37', '187', '84', '12']",7,"['84', '37', '31', '186', '2', '11', '96', '183', '146', '22']","{'186': 0.8993124, '31': 0.89112425, '84': 0.8773209, '146': 0.8772448, '2': 0.86027074, '22': 0.85970443, '183': 0.85749525, '96': 0.8496934, '35': 0.84527266, '152': 0.8424328}","{'84': 0.85493124, '31': 0.80998313, '22': 0.7096034, '186': 0.6828873, '2': 0.67091405, '37': 0.6606609, '146': 0.6366324, '11': 0.6344259, '4': 0.5336133, '33': 0.5325088}","{'84': 0.84949774, '31': 0.81499696, '22': 0.7802974, '11': 0.7776357, '37': 0.7699453, '183': 0.7522386, '96': 0.7511144, '155': 0.74958575, '2': 0.7459364, '33': 0.743716}","{'152': 0.9425912, '155': 0.9365667, '186': 0.93491834, '45': 0.93460697, '129': 0.93096125, '37': 0.928761, '96': 0.92811435, '11': 0.9232556, '22': 0.92136806, '50': 0.9158405}","{'45': 0.93501115, '59': 0.93288916, '152': 0.9327205, '23': 0.9321104, '36': 0.92968833, '29': 0.9294844, '141': 0.92938745, '52': 0.92930436, '169': 0.9292393, '108': 0.92919487}","{'124': 0.99862856, '89': 0.99861884, '71': 0.9985347, '90': 0.9985269, '107': 0.9985259, '53': 0.99851626, '104': 0.9985111, '186': 0.99825114, '68': 0.99824464, '138': 0.9981866}"
"Deformation Band: a geological object recognizable in from mm to cm in width, constituted_by some amount of rock and generated_by some Geological Deformation.It corresponds to a tabular strain localization feature that accommodates small displacement with strain-hardening.","['155', '144', '4']",3,"['144', '4', '39', '66', '111', '181', '124', '18', '139', '207']","{'84': 0.89433205, '11': 0.8840388, '2': 0.88356113, '4': 0.87978065, '152': 0.87649006, '22': 0.87635106, '46': 0.867265, '196': 0.8593482, '212': 0.85613006, '35': 0.8470908}","{'144': 0.683009, '4': 0.6745231, '155': 0.64536554, '33': 0.61520994, '181': 0.5177344, '146': 0.516791, '163': 0.49131903, '66': 0.48442772, '124': 0.46984124, '114': 0.33604315}","{'144': 0.801042, '4': 0.7827833, '155': 0.75900793, '183': 0.68253064, '33': 0.67780364, '146': 0.65846664, '87': 0.6389462, '143': 0.6203238, '84': 0.61648786, '11': 0.61194676}","{'203': 0.9240146, '22': 0.9213743, '11': 0.9209324, '137': 0.91799486, '155': 0.9161, '4': 0.91440547, '2': 0.9134034, '166': 0.91280746, '84': 0.91214615, '118': 0.91144717}","{'152': 0.9488741, '11': 0.94586545, '120': 0.9458235, '146': 0.94552517, '22': 0.94423366, '155': 0.9436714, '84': 0.9431078, '212': 0.9424588, '203': 0.9421152, '2': 0.9407783}","{'222': 0.99921906, '212': 0.99886787, '203': 0.998462, '7': 0.9984423, '120': 0.9983651, '118': 0.9982112, '152': 0.9981678, '146': 0.9980859, '35': 0.99774134, '196': 0.9975362}"
"Fault Core: a geological object that is part_of only Fault Zone, generated_by some Brittle Shear Deformation, constituted_by some Brittle Fault Rock. It accommodates the high-strain major shear displacement.","['63', '22', '3', '42', '53', '167', '119', '138', '30', '154']",10,"['2', '146', '84', '183', '11', '37', '22', '140', '186', '18']","{'2': 0.8999876, '146': 0.8982183, '22': 0.8920496, '84': 0.88885874, '11': 0.88373303, '40': 0.8680208, '31': 0.86748636, '153': 0.86590767, '212': 0.86357, '152': 0.8601626}","{'22': 0.7601329, '30': 0.75389266, '2': 0.7381088, '11': 0.7053219, '146': 0.69910425, '165': 0.6876464, '84': 0.68571055, '222': 0.57986677, '156': 0.56537807, '124': 0.48910207}","{'2': 0.80183905, '146': 0.78293633, '22': 0.76395726, '11': 0.7562149, '84': 0.7147447, '30': 0.71313775, '18': 0.7025795, '183': 0.6997513, '153': 0.6924448, '53': 0.691012}","{'11': 0.9423057, '84': 0.94184107, '22': 0.9366751, '2': 0.93409085, '166': 0.93168765, '137': 0.93061024, '178': 0.93031895, '155': 0.9302143, '152': 0.92752963, '78': 0.92657936}","{'152': 0.9269847, '159': 0.9175679, '118': 0.9141155, '33': 0.9135864, '7': 0.9044248, '11': 0.9035793, '84': 0.9032467, '220': 0.9027189, '212': 0.90245885, '222': 0.89073235}","{'222': 0.9994182, '212': 0.99913406, '7': 0.9989328, '203': 0.99889433, '120': 0.9987728, '152': 0.9987632, '118': 0.99853843, '146': 0.9984979, '35': 0.9982009, '196': 0.9980019}"
Flower: a set of fault surfaces related to strike-slip fault structure that stack together as petals of a flower in cross-section view.,['145'],1,"['145', '207', '115', '172', '63', '122', '13', '42', '140', '194']","{'146': 0.8904585, '184': 0.87057555, '69': 0.86666995, '111': 0.86542624, '96': 0.86529756, '6': 0.86524534, '187': 0.86510056, '161': 0.86421645, '8': 0.864011, '212': 0.8591171}","{'145': 0.74283755, '72': 0.55807894, '44': 0.51677185, '131': 0.5055603, '24': 0.49954852, '222': 0.4745707, '85': 0.45957512, '74': 0.41432288, '127': 0.40538734, '152': 0.36580044}","{'145': 0.7552693, '194': 0.58329856, '7': 0.5810994, '34': 0.58079433, '63': 0.5605449, '6': 0.55910456, '24': 0.5466094, '187': 0.5421807, '197': 0.5412386, '71': 0.54064065}","{'44': 0.9324388, '145': 0.93127406, '122': 0.93047804, '1': 0.9297719, '131': 0.92955935, '91': 0.92904794, '207': 0.9288363, '115': 0.92719597, '88': 0.92447215, '220': 0.8995174}","{'13': 0.97095287, '32': 0.9705677, '28': 0.96560776, '182': 0.9413514, '137': 0.94066787, '166': 0.94065446, '40': 0.9405717, '97': 0.93972987, '153': 0.93923765, '149': 0.93862593}","{'61': 0.9989864, '24': 0.9989713, '69': 0.99893844, '163': 0.99892604, '161': 0.99884486, '85': 0.99884063, '37': 0.99847764, '207': 0.99842, '172': 0.99834734, '157': 0.9979799}"
"Fault System Structure: a geological structure that is structure_of some Fault System. It is the arrangement among the Fault Walls of Fault Volumes, which are part_of a Fault System.","['32', '116', '186', '56', '95', '57']",6,"['32', '116', '13', '72', '43', '193', '151', '57', '107', '184']","{'40': 0.8878608, '90': 0.88056874, '70': 0.8798412, '153': 0.87950987, '69': 0.87883055, '146': 0.8774864, '22': 0.87252605, '108': 0.8719137, '2': 0.8640592, '35': 0.8534761}","{'116': 0.756283, '32': 0.7415372, '12': 0.7148272, '13': 0.6909182, '156': 0.66483843, '187': 0.6622247, '43': 0.6070635, '107': 0.60245514, '222': 0.52884763, '124': 0.44063097}","{'116': 0.8720036, '111': 0.82051635, '12': 0.817502, '70': 0.8114784, '165': 0.80919856, '7': 0.796835, '30': 0.7867963, '86': 0.7749089, '197': 0.77302253, '26': 0.74736166}","{'107': 0.9397063, '182': 0.9374213, '71': 0.9373905, '24': 0.93516797, '149': 0.9338171, '40': 0.9308119, '59': 0.92904496, '42': 0.9248786, '105': 0.92274904, '220': 0.9188109}","{'32': 0.96352875, '28': 0.9633793, '13': 0.9628061, '152': 0.95965946, '182': 0.95917076, '137': 0.9588738, '166': 0.95876294, '24': 0.9579105, '149': 0.95767915, '40': 0.95724213}","{'166': 0.9995069, '141': 0.99945045, '23': 0.99944717, '59': 0.9994447, '108': 0.9994441, '36': 0.99943876, '45': 0.99943316, '170': 0.99937314, '100': 0.99933314, '78': 0.99927074}"
Negative Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively downward and the corresponding Fault System has_structure some Flower.,['56'],1,"['156', '13', '56', '145', '105', '32', '95', '63', '42', '24']","{'69': 0.86211246, '161': 0.8577793, '74': 0.8574101, '40': 0.85090935, '212': 0.8461917, '2': 0.8441495, '46': 0.8435206, '105': 0.8397294, '182': 0.83882856, '84': 0.8354287}","{'145': 0.72727597, '56': 0.52927667, '220': 0.4517547, '43': 0.44199246, '156': 0.43707016, '170': 0.4055823, '222': 0.37657902, '127': 0.3460304, '124': 0.32772118, '66': 0.31244022}","{'56': 0.67889947, '71': 0.6759654, '182': 0.66751236, '42': 0.64728034, '197': 0.6466491, '69': 0.6411561, '127': 0.6403526, '107': 0.63642967, '95': 0.6357118, '90': 0.62336916}","{'32': 0.92670155, '13': 0.92461425, '212': 0.91685784, '107': 0.9098115, '222': 0.909179, '71': 0.90176237, '182': 0.900142, '95': 0.8996497, '24': 0.8977371, '28': 0.89439774}","{'32': 0.930735, '13': 0.9281606, '28': 0.9246293, '222': 0.91637117, '212': 0.91060114, '94': 0.89551395, '23': 0.8870469, '59': 0.8865765, '152': 0.88494533, '141': 0.88239133}","{'222': 0.9991266, '120': 0.99833125, '133': 0.99819803, '130': 0.99817884, '187': 0.99817854, '62': 0.99817353, '34': 0.99815106, '118': 0.99810296, '146': 0.9979787, '35': 0.9978219}"
Chatter Mark: a small wedge-shaped structure that indicates one Fault Wall moves past another.,['134'],1,"['134', '24', '23', '42', '194', '63', '119', '172', '182', '71']","{'43': 0.8750241, '72': 0.87423646, '187': 0.87216854, '88': 0.8633765, '111': 0.8584925, '96': 0.8554288, '184': 0.85274833, '222': 0.85204947, '8': 0.8478124, '99': 0.84468627}","{'23': 0.6666194, '182': 0.6222042, '42': 0.6218022, '149': 0.6086935, '134': 0.6074593, '24': 0.5894943, '71': 0.58333206, '43': 0.5657954, '76': 0.5616015, '222': 0.5068151}","{'134': 0.7122965, '105': 0.6615323, '198': 0.6281669, '62': 0.6223718, '76': 0.6114794, '24': 0.607381, '182': 0.6064434, '23': 0.6046517, '94': 0.59836024, '150': 0.58534586}","{'95': 0.9523471, '56': 0.95118713, '122': 0.9507675, '91': 0.9505448, '1': 0.95010155, '210': 0.9495199, '32': 0.94909257, '58': 0.9488211, '115': 0.94838697, '179': 0.9470213}","{'13': 0.969809, '32': 0.9693485, '28': 0.968447, '66': 0.9664814, '156': 0.96192986, '181': 0.96046436, '182': 0.9385436, '40': 0.9367225, '152': 0.93399465, '212': 0.932201}","{'33': 0.99805796, '84': 0.998054, '2': 0.9980439, '117': 0.9980377, '4': 0.9980355, '75': 0.998021, '22': 0.9978339, '11': 0.9978284, '155': 0.9977956, '220': 0.99737185}"
Fault Maximum Separation: a relational quality is quality_of exactly 2 Fault Wall of a Fault Volume. It measures the separation between 2 Fault Wall of a Fault Volume and expressed by a real number indicating its value and a literal string indicating its measurement unit.,"['201', '149', '148', '62', '105', '198']",6,"['156', '105', '148', '107', '13', '56', '71', '182', '95', '46']","{'105': 0.8609805, '148': 0.8490656, '71': 0.8483629, '156': 0.84819376, '46': 0.84521747, '107': 0.8433595, '32': 0.8369141, '13': 0.8323264, '62': 0.8259351, '220': 0.8127964}","{'148': 0.74974847, '105': 0.62279135, '73': 0.60216266, '156': 0.45179442, '107': 0.43257692, '170': 0.41155854, '127': 0.32955396, '222': 0.31135324, '163': 0.30963138, '124': 0.29537728}","{'105': 0.77330506, '148': 0.7715414, '201': 0.75144005, '198': 0.73981786, '150': 0.72249854, '62': 0.7109758, '127': 0.70243764, '6': 0.69833124, '69': 0.6975101, '89': 0.6920626}","{'131': 0.9359745, '44': 0.935254, '95': 0.9343648, '56': 0.93433297, '88': 0.93382657, '105': 0.93316835, '58': 0.9331467, '201': 0.9321214, '150': 0.93082637, '198': 0.93033665}","{'105': 0.9661978, '46': 0.96286315, '129': 0.9625776, '140': 0.96236765, '203': 0.9615704, '152': 0.9589542, '13': 0.9581668, '32': 0.9576022, '28': 0.9559278, '7': 0.9551253}","{'222': 0.99950486, '212': 0.99935734, '203': 0.9991803, '152': 0.99902433, '7': 0.9990207, '159': 0.99883956, '156': 0.99874663, '181': 0.9987364, '119': 0.99865496, '196': 0.9982742}"
"Slip Surface Structure: a geological structure, which is structure_of some Physical Slip Surface. It is structure of the direction of the displacement between the two fault walls.","['139', '68', '39', '28', '134']",5,"['28', '39', '139', '68', '63', '24', '140', '111', '116', '195']","{'146': 0.8775772, '69': 0.8773935, '212': 0.8632692, '40': 0.858181, '76': 0.85698444, '24': 0.85366464, '46': 0.8520769, '2': 0.8499539, '31': 0.84728, '35': 0.83852124}","{'39': 0.80846983, '28': 0.7871063, '24': 0.62243533, '68': 0.59837204, '63': 0.59626806, '181': 0.46972224, '66': 0.43247333, '222': 0.43127778, '163': 0.39540702, '124': 0.3768457}","{'39': 0.79570544, '24': 0.7562361, '28': 0.7406939, '183': 0.6944467, '116': 0.69044447, '34': 0.6839975, '144': 0.6769109, '12': 0.67463183, '194': 0.67149264, '4': 0.6697945}","{'24': 0.9283488, '105': 0.92464036, '182': 0.9221687, '71': 0.9219168, '149': 0.92164725, '107': 0.9215804, '42': 0.91951126, '166': 0.9178677, '220': 0.9058129, '212': 0.90570587}","{'28': 0.96642727, '32': 0.9638577, '13': 0.96302676, '24': 0.9467591, '166': 0.94675016, '137': 0.94634193, '182': 0.9458337, '149': 0.9438399, '40': 0.94315445, '152': 0.94314903}","{'13': 0.9995727, '28': 0.999571, '32': 0.9995705, '94': 0.9992895, '64': 0.9990267, '121': 0.9990209, '123': 0.9990108, '154': 0.9990097, '65': 0.99900687, '206': 0.99900234}"
Dip Separation: it is the separation measured along a line parallel to the dip direction.,['62'],1,"['62', '99', '200', '85', '161', '122', '63', '139', '194', '105']","{'62': 0.83810675, '200': 0.8115958, '150': 0.8088656, '99': 0.8067465, '201': 0.8053776, '68': 0.80427617, '139': 0.79445267, '212': 0.7746648, '220': 0.7700951, '222': 0.76848733}","{'62': 0.686508, '201': 0.36625844, '150': 0.32585016, '148': 0.24201728, '74': 0.23162857, '21': 0.20942783, '92': 0.17389008, '127': 0.17316543, '14': 0.16863176, '222': 0.14579843}","{'62': 0.78152835, '99': 0.6405468, '200': 0.63720953, '201': 0.63114166, '105': 0.6198113, '150': 0.6168747, '198': 0.6106999, '148': 0.59312284, '134': 0.5726954, '155': 0.5507189}","{'201': 0.93590236, '62': 0.9344051, '198': 0.933467, '150': 0.9334551, '105': 0.926625, '99': 0.9210548, '44': 0.9149284, '19': 0.91418236, '131': 0.9103529, '220': 0.90825695}","{'150': 0.948882, '198': 0.9450087, '220': 0.927529, '78': 0.9247167, '105': 0.9219401, '178': 0.9217141, '201': 0.9194847, '46': 0.9165275, '7': 0.9154192, '62': 0.9153333}","{'222': 0.9988984, '212': 0.99876046, '203': 0.99832785, '34': 0.99831045, '120': 0.9982763, '7': 0.99824774, '152': 0.9981111, '146': 0.9979722, '35': 0.99778014, '196': 0.99740696}"
Low-angle Fault: a Fault Structure having a Fault Dip value less than 30°,"['43', '212']",2,"['193', '105', '43', '72', '57', '151', '222', '212', '88', '200']","{'43': 0.9307716, '72': 0.9168663, '222': 0.9001645, '200': 0.8986951, '184': 0.89572895, '88': 0.8951656, '151': 0.88900363, '96': 0.8877738, '99': 0.8871147, '187': 0.883868}","{'43': 0.83219755, '200': 0.74804723, '173': 0.7166214, '212': 0.69073284, '222': 0.66455305, '161': 0.64652985, '141': 0.64546233, '89': 0.644439, '156': 0.633806, '69': 0.62611926}","{'200': 0.7395365, '99': 0.6916986, '43': 0.66427684, '62': 0.59749776, '69': 0.5836036, '89': 0.57775116, '184': 0.57198125, '90': 0.5532949, '86': 0.5516155, '104': 0.547807}","{'105': 0.85854775, '76': 0.85711306, '94': 0.8540662, '35': 0.85296655, '182': 0.85063833, '196': 0.84958625, '71': 0.8471414, '24': 0.8434356, '52': 0.84256375, '23': 0.8409638}","{'105': 0.8871942, '94': 0.88295865, '32': 0.88268936, '76': 0.8813937, '28': 0.88106275, '13': 0.88038576, '46': 0.8782793, '140': 0.87740624, '150': 0.8742259, '129': 0.8730906}","{'69': 0.9987634, '153': 0.99872077, '137': 0.99871993, '166': 0.9987185, '97': 0.9987162, '40': 0.99871397, '185': 0.99871147, '182': 0.99871093, '149': 0.99870867, '24': 0.9987043}"
